No.,Status Sertifikat,Penggunaan,Kategori Luas,Jenis Nadzir,Kelurahan
1,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
2,BELUM,MASJID,BESAR,Perorangan,Pasirkratonkramat
3,SUDAH,MASJID,SEDANG,Perorangan,Podosugih
4,SUDAH,PENDIDIKAN,BESAR,Perorangan,Pasirkratonkramat
5,SUDAH,MASJID,SEDANG,Organisasi,Podosugih
6,SUDAH,MASJID,KECIL,Organisasi,Podosugih
7,SUDAH,MASJID,SEDANG,Organisasi,Podosugih
8,BELUM,MUSHOLLAH,SEDANG,Perorangan,Sapuro Kebulen
9,BELUM,MUSHOLLAH,SEDANG,Perorangan,Podosugih
10,BELUM,MASJID,BESAR,Perorangan,Medono
11,BELUM,MUSHOLLAH,KECIL,Perorangan,Pringrejo
12,BELUM,MASJID,SEDANG,Perorangan,Tirto
13,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
14,BELUM,MASJID,BESAR,Perorangan,Pasirkratonkramat
15,BELUM,MUSHOLLAH,SEDANG,Perorangan,Pasirkratonkramat
16,BELUM,MUSHOLLAH,KECIL,Perorangan,Pringrejo
17,BELUM,PENDIDIKAN,SEDANG,Perorangan,Pringrejo
18,BELUM,MUSHOLLAH,KECIL,Perorangan,Pringrejo
19,BELUM,MUSHOLLAH,KECIL,Perorangan,Pringrejo
20,BELUM,MUSHOLLAH,SEDANG,Perorangan,Pringrejo
21,BELUM,MUSHOLLAH,KECIL,Perorangan,Pringrejo
22,BELUM,PENDIDIKAN,SEDANG,Perorangan,Pringrejo
23,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
24,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
25,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
26,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
27,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
28,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
29,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
30,SUDAH,MUSHOLLAH,KECIL,Perorangan,Podosugih
31,BELUM,MUSHOLLAH,KECIL,Perorangan,Medono
32,BELUM,MUSHOLLAH,SEDANG,Perorangan,Pringrejo
33,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
34,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
35,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
36,BELUM,PENDIDIKAN,SEDANG,Perorangan,Tirto
37,BELUM,MAKAM,BESAR,Perorangan,Sapuro Kebulen
38,BELUM,MAKAM,BESAR,Perorangan,Sapuro Kebulen
39,BELUM,MAKAM,BESAR,Perorangan,Sapuro Kebulen
40,SUDAH,MASJID,SEDANG,Perorangan,Sapuro Kebulen
41,BELUM,MUSHOLLAH,KECIL,Perorangan,Bendan Kergon
42,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
43,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
44,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
45,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
46,BELUM,MUSHOLLAH,KECIL,Badan Hukum,Pasirkratonkramat
47,BELUM,MUSHOLLAH,SEDANG,Perorangan,Tirto
48,BELUM,MASJID,BESAR,Perorangan,Tirto
49,BELUM,MUSHOLLAH,KECIL,Perorangan,Bendan Kergon
50,BELUM,MUSHOLLAH,SEDANG,Perorangan,Podosugih
51,BELUM,MUSHOLLAH,KECIL,Perorangan,Bendan Kergon
52,BELUM,MUSHOLLAH,SEDANG,Perorangan,Medono
53,BELUM,MUSHOLLAH,KECIL,Perorangan,Medono
54,BELUM,MUSHOLLAH,SEDANG,Perorangan,Bendan Kergon
55,BELUM,PENDIDIKAN,KECIL,Perorangan,Bendan Kergon
56,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Bendan Kergon
57,BELUM,MUSHOLLAH,SEDANG,Perorangan,Sapuro Kebulen
58,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Pringrejo
59,BELUM,MUSHOLLAH,KECIL,Perorangan,Medono
60,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Sapuro Kebulen
61,SUDAH,SOSIAL & KESEHATAN,BESAR,Badan Hukum,Tirto
62,SUDAH,MASJID,BESAR,Badan Hukum,Tirto
63,SUDAH,SOSIAL & KESEHATAN,BESAR,Badan Hukum,Tirto
64,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Medono
65,BELUM,MASJID,SEDANG,Perorangan,Pringrejo
66,BELUM,PENDIDIKAN,KECIL,Perorangan,Tirto
67,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Tirto
68,BELUM,MUSHOLLAH,KECIL,Perorangan,Tirto
69,BELUM,MUSHOLLAH,SEDANG,Perorangan,Medono
70,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Tirto
71,SUDAH,MUSHOLLAH,BESAR,Badan Hukum,Sapuro Kebulen
72,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Bendan Kergon
73,SUDAH,SOSIAL & KESEHATAN,KECIL,Organisasi,Bendan Kergon
74,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
75,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Pringrejo
